name,dept,affiliation
Thelma Domingo-Palaoag,,University of the Cordilleras
Maria Katrina Donato,Department of Information Systems and Computer Science,Ateneo de Manila University
Nethania Katrina Surtida,Department of Information Systems and Computer Science,Ateneo de Manila University
Charles Jansen Ignacio,Department of Information Systems and Computer Science,Ateneo de Manila University
Ramon Rodriguez,Software Technology Department,De La Salle University
Faramarz Ataollahi,Software Technology Department,De La Salle University
Kenneth Royce Brigola,Center for Empathic Human-Computer Interaction,De La Salle University
Christine Joy Infante,Center for Empathic Human-Computer Interaction,De La Salle University
Paolo Josef,Center for Empathic Human-Computer Interaction,De La Salle University
Annalyn Reganit,Center for Empathic Human-Computer Interaction,De La Salle University
Juan Lorenzo Hagad,Center for Empathic Human-Computer Interaction,De La Salle University
Courtney Ngo,Software Technology Department,De La Salle University
Solomon See,Software Technology Department,De La Salle University
Ramon Rodriguez,Computer Technology Department,De La Salle University
Rex Bringula,,University of the East
Aaron Noel De Leon,,University of the East
Daryll Santos,,University of the East
Jose Mari Ramos,,University of the East
Sean Michael Amador,,University of the East
Natalie Agustin,Software Technology Department,De La Salle University
Ma. Anne Therese Musong,,Ateneo de Davao University
Zyra Bravo,,Ateneo de Davao University
Fili Emerson Chua,Computer Technology Department,De La Salle University
Jocelynn Cu,Computer Technology Department,De La Salle University
Nikkol John Morales,Computer Technology Department,De La Salle University
John Lawrence Peñafiel,Computer Technology Department,De La Salle University
Jeno Paolo Rigor,Computer Technology Department,De La Salle University
Thomas James Z. Tiam-Lee,Software Technology Department,De La Salle University
Jayzon Ty,Department of Information Systems and Computer Science,Ateneo de Manila University
Marc Ericson Santos,Graduate School of Information Science,Nara Institute of Science and Technology
Jonathan Audric Matias,Department of Information Systems and Computer Science,Ateneo de Manila University
Regine Danica Regino,Department of Information Systems and Computer Science,Ateneo de Manila University
Christine Faith Tango,Department of Information Systems and Computer Science,Ateneo de Manila University
Arnulfo P. Azcarraga,Software Technology Department,De La Salle University
Paolo Tensuan,Software Technology Department,De La Salle University
Mauro Edmund Arce,Software Technology Department,De La Salle University
Marvin Limson,Software Technology Department,De La Salle University
Michelle Ormoc,Software Technology Department,De La Salle University
Lawrence Yap,Software Technology Department,De La Salle University
Conrad Olega,Department of Computer Science,University of the Philippines - Diliman
Aaron Manaloto,Department of Computer Science,University of the Philippines - Diliman
Karlo Soriano,Department of Computer Science,University of the Philippines - Diliman
Cedric Festin,Department of Computer Science,University of the Philippines - Diliman
Fatima Suzanne G. De Villa,Department of Computer Science,University of the Philippines - Diliman
Anna Janeri B. Ongcol,Department of Computer Science,University of the Philippines - Diliman
Bryan Adam B. Tan,Department of Computer Science,University of the Philippines - Diliman
Maritoni Escalona,Software Technology Department,De La Salle University
Ricco Laxamana,Software Technology Department,De La Salle University
Kevin Pagtakhan,Software Technology Department,De La Salle University
Edward P. Tighe,Software Technology Department,De La Salle University
Rhia Trogo,Software Technology Department,De La Salle University
John Roy Geralde,,Ateneo de Davao University
Joshua Castañeda,Department of Computer Science,University of the Philippines - Diliman
Elijah Joshua Cayabyab,Department of Computer Science,University of the Philippines - Diliman
Jonathan Danao,Department of Computer Science,University of the Philippines - Diliman
Adrian John Biton,Institute of Computer Science,University of the Philippines - Los Baños
Marie Yvette de Robles,Institute of Computer Science,University of the Philippines - Los Baños
Joseph Benjamin Ferrer,Department of Computer Science,University of the Philippines - Diliman
Anthony Brian Dy,Department of Computer Science,University of the Philippines - Diliman
Christian Edensor Arbon,Department of Computer Science,University of the Philippines - Diliman
Kier Sostenes Guevara,Computer Science Department,Ateneo de Naga University
Redan Benedict Alcaide,Computer Science Department,Ateneo de Naga University
