venue,title,year,authors
pcsc,Designing a Configurable Web Scraper for The Air and Sea Transport Domain,2016,"Leona Jean A. Lao, Vermille Ann T. Saw"
pcsc,Towards a Corpus-based Filipino Grammar Checker System,2016,"Matthew Phillip Go, Allan Borra"
pcsc,Spiking Neural P Systems GPU Simulation using OpenCL,2016,"Ann Renzel Lagunda, Genesis Ian Palaganas, Francis George C. Cabarle, Henry N. Adorna"
pcsc,Improved Sampling Techniques for Learning an Imbalanced Data Set,2016,"Maureen Lyndel C. Lauron, Jaderick P. Pabico"
pcsc,A C2-Huberized nonconvex TVq model for image restoration,2016,Marrick C. Neri
pcsc,An Analysis of Bubble Sort Based Heuristics for Minimum Sorting by Short Rearrangements,2015,"Job Eliezek Bangayan, John Richard Bunyi, Jeau Gigataras, John Paul C. Vergara"
pcsc,Circular Pair Flash Code,2015,"Jasper S. Agustin, Proceso Fernandez Jr"
pcsc,MMIPSS: Mobile-based MIPS64 Simulator,2015,"Ma. Angelica Capuz, Selwyn Emerson Reyes, Lorraine Policarpio, Roger Luis Uy, Brylle Joseph Quinto"
pcsc,Multi-level classifier for the detection of insults in social media,2015,"Reinald Kim Amplayo, Jason Occidental"
pcsc,Clustering Learners in a Learning-by-Teaching Intelligent Tutoring System and Differences in their Mathematics Performance,2015,"Rex P. Bringula, Roselle S. Basa, Cecilio Dela Cruz"
pcsc,A Comparative Analysis of Classification Techniques for MIDI Files,2015,"Emmanuel Jon A. Magdaluyo, Miguel Paolo A. Maglaque, Geronimo Miguel M. Mantes, Andrei D. Coronel"
pcsc,Final Exam Scheduling and Classroom Assignment Using Late Acceptance Hill Climbing,2015,"Earl Jay F. Ledesma, Marie Yvette B. de Robles"
pcsc,Traffic Prediction for the Major Roads in EDSA using Feed-Forward Backpropagation Neural Networks,2015,"Emilio Angelo D. Alindogan, Jerry Y. Hom, Febrev F. Dela Cruz, Melissa P. Juanillo, Ma. Christina R. Aragon, Mark Lorenz F. Eustaquio"
pcsc,Developing a Language Identification System for Eleven Philippine Languages: Using True Positives to Measure Language Similarity,2015,"Nathaniel Oco, Allain Paolo Hiya, Sony Renz Manalo, Manolito Octaviano Jr., Ryan Christopher Pinca"
pcsc,A semantic model for evaluating essays using reflective random indexing,2015,"Reinald Kim Amplayo, Jason Occidental"
pcsc,Identification of Philippine Algae Species from Images using Naive Bayes Classifier,2015,"Krystel Arriane A. Cortez, Katrina Joy H. Magno"
pcsc,Determining the Correlation Between Concentration Levels and the Visual Features of Algae in Water Surfaces,2015,"Aaron Spencer K. Ngo, John Darill B. Desingco, Macario O. Cordel II, Roger Luis Uy, Prane Mariel B. Ong, Eric R. Punzalan, Joel P. Ilao"
pcsc,A split Bregman method for removing impulse noise,2015,Marrick C. Neri
pcsc,Minimization of a restricted l1 TV model by interior point method,2015,"Rachel Anne G. Concepcion, Marrick C. Neri"
pcsc,Analyzing Brainwave Signals using Supervised Learning Algorithms for Affect-based Student Modeling,2015,"Tita R. Herradura, Merlin Teodosia C. Suarez"
pcsc,A Quality Framework on Contextual Challenges in Online Distance Education for Developing Countries,2015,"Raymund E. Dilan, Proceso Fernandez Jr"
pcsc,Virtual Learning Environment Implementation Framework of Mariano Marcos State University,2015,"Wilben Christie R. Pagtaconan, Cecilia A. Mercado"
pcsc,An Investigation of the Relationship Between Programmer Annotations and Self-Efficacy and their Static Code Reading and Tracing Skills,2015,"Josephine S. Dela Cruz, Ma. Mercedes T. Rodrigo"
pcsc,Confusion and Compilation Logs: A Study of Novice Programmer Experiences,2014,Teresita Paccarangan
pcsc,Word Prediction and Correction on EEG-Based Text Entry Interface for Handicapped Person using ANN Model,2014,"Jessie Brian Unabia Revil, Mark Allen Secreto Saclot"
pcsc,Delaying ARP Poisoning using an Active Network-Based Technique,2014,"Alexis Pantola, Deanne Erika Buena, Clarissa Mae Garcia, Celine Villafuerte, Allison Mae Yu"
pcsc,A Neural Network Mood-Drivern Pervasive and Personal Learning Environmental Model for Autistic Learners,2014,Thelma Domingo-Palaoag
pcsc,Genetic Algorithm Experiments in Classical Melody Generation,2014,"Maria Katrina Donato, Nethania Katrina Surtida, Charles Jansen Ignacio, Andrei D. Coronel"
pcsc,Modelling and Detecting Emotions of Filipino Laughter using Audio Signal,2014,"Ramon Rodriguez, Faramarz Ataollahi, Rafael A. Cabredo"
pcsc,Recupera: A Home-Based Post-Stroke Rehabilitation using the Kinect Sensor for Active Patients,2014,"Kenneth Royce Brigola, Christine Joy Infante, Paolo Josef, Annalyn Reganit, Juan Lorenzo Hagad, Merlin Teodosia C. Suarez"
pcsc,Optimizing Cost Function of Histogram of Oriented Gradient-based INRIA Dataset,2014,"Roger Luis Uy, Joel D. Ilao, Rafael A. Cabredo"
pcsc,Using machine learning to detect pedestrian locomotion from sensor-based data,2014,"Courtney Ngo,Solomon See, Roberto Legaspi"
pcsc,Filipino Emotion Classification in Speech Signals based on Audio Features and Transcribed Text,2014,"Ramon Rodriguez, Joel P. Ilao"
pcsc,Usability of RIANT: A Web-Based Visual Development Software for JavaScript-Based Rich Internet Applications,2014,"Rex Bringula, Aaron Noel De Leon, Daryll Santos, Jose Mari Ramos, Sean Michael Amador, Roselle S. Basa"
pcsc,A Comparison of Sounds Produced by People with and without Hearing Impairment using an Acoustic-to-Articulatory Inversion Model for the Creation of a Visual Articulatory Feedback System,2014,"Natalie Agustin, Solomon See"
pcsc,Generating Dietary Patterns for Type II Diabetes Mellitus Out-Patient using Constraint Logic Programming,2014,"Ma. Anne Therese Musong, Zyra Bravo"
pcsc,Modeling DoS Attacks Using Machine Learning,2014,"Gregory Cu, Jocelynn Cu, Fili Emerson Chua, Nikkol John Morales, John Lawrence Peñafiel, Jeno Paolo Rigor"
pcsc,Building an Agreement-Objection Corpus using a Gamified Framework,2014,"Thomas James Tiam-Lee, Solomon See"
pcsc,A Mobile Authoring Tool for Augmented Reality Content Generation Using Images as Annotations,2014,"Jayzon Ty, Ma. Mercedes T. Rodrigo, Marc Ericson Santos"
pcsc,A Comparative Analysis of Different Distance Metrics from Different Families at Various Feature Reduction Levels Applied to Bach Chorales,2014,"Jonathan Audric Matias, Regine Danica Regino,  Christine Faith Tango, Andrei D. Coronel"
pcsc,Using Document Formatting Information to Improve Neural Network-Based Keyword Extraction,2014,"Paolo Tensuan, Arnulfo Azcarraga"
