paperID,author1,author2
95,Aaron Jan Baldomar,Yun Sup Lee
95,William James Custodio,Yun Sup Lee
97,Ricardo Q. Camungao,Bobby D. Gerardo
97,Ricardo Q. Camungao,Bartolome T. Tanguilig III
97,Bobby D. Gerardo,Bartolome T. Tanguilig III
98,Paul John O. Argarin,Neil Jonathan A. Joaquin
98,Paul John O. Argarin,Richelle Ann B. Juayong
98,Paul John O. Argarin,Nestine Hope S. Hernandez
98,Paul John O. Argarin,Henry N. Adorna
98,Paul John O. Argarin,Francis George C. Cabarle
98,Neil Jonathan A. Joaquin,Richelle Ann B. Juayong
98,Neil Jonathan A. Joaquin,Nestine Hope S. Hernandez
98,Neil Jonathan A. Joaquin,Henry N. Adorna
98,Neil Jonathan A. Joaquin,Francis George C. Cabarle
98,Richelle Ann B. Juayong,Nestine Hope S. Hernandez
98,Richelle Ann B. Juayong,Henry N. Adorna
98,Richelle Ann B. Juayong,Francis George C. Cabarle
98,Nestine Hope S. Hernandez,Henry N. Adorna
98,Nestine Hope S. Hernandez,Francis George C. Cabarle
98,Henry N. Adorna,Francis George C. Cabarle
99,Jym Paul A. Carandang,John Matthew B. Villaflores
99,Jym Paul A. Carandang,Francis George C. Cabarle
99,Jym Paul A. Carandang,Henry N. Adorna
99,John Matthew B. Villaflores,Francis George C. Cabarle
99,John Matthew B. Villaflores,Henry N. Adorna
99,Francis George C. Cabarle,Henry N. Adorna
100,Charibeth Cheng,Louie Anson Ng
101,Lawrence Miguel Antonio,Cecil Jose Delfinado
101,Lawrence Miguel Antonio,Francis Jon Olaso
101,Lawrence Miguel Antonio,Joseph Ordillano
101,Lawrence Miguel Antonio,Novelle Anne Sinco
101,Lawrence Miguel Antonio,Warren Adam Sto. Tomas
101,Cecil Jose Delfinado,Francis Jon Olaso
101,Cecil Jose Delfinado,Joseph Ordillano
101,Cecil Jose Delfinado,Novelle Anne Sinco
101,Cecil Jose Delfinado,Warren Adam Sto. Tomas
101,Francis Jon Olaso,Joseph Ordillano
101,Francis Jon Olaso,Novelle Anne Sinco
101,Francis Jon Olaso,Warren Adam Sto. Tomas
101,Joseph Ordillano,Novelle Anne Sinco
101,Joseph Ordillano,Warren Adam Sto. Tomas
101,Novelle Anne Sinco,Warren Adam Sto. Tomas
102,Danny C. Cheng,Nathalie Rose Lim-Cheng
102,Danny C. Cheng,Roberto Legaspi
102,Nathalie Rose Lim-Cheng,Roberto Legaspi
103,Conrado R. Ruiz Jr,Sang N. Le
103,Conrado R. Ruiz Jr,Kok-Lim Low
103,Sang N. Le,Kok-Lim Low
104,Jayson A. Lucilo,Carlene P.C. Pilar-Arceo
104,Jayson A. Lucilo,Eduardo R. Mendoza
104,Carlene P.C. Pilar-Arceo,Eduardo R. Mendoza
105,Katrina T. Lacsamana,Mary B. Malana
105,Katrina T. Lacsamana,Albert H. Rivera
105,Katrina T. Lacsamana,Judith J. Azcarraga
105,Mary B. Malana,Albert H. Rivera
105,Mary B. Malana,Judith J. Azcarraga
105,Albert H. Rivera,Judith J. Azcarraga
106,Carlo Adriano,Raphael Bihis
106,Carlo Adriano,Jaimie Bringas
106,Carlo Adriano,Charisse Hong
106,Carlo Adriano,Ann Franchesca B. Laguna
106,Raphael Bihis,Jaimie Bringas
106,Raphael Bihis,Charisse Hong
106,Raphael Bihis,Ann Franchesca B. Laguna
106,Jaimie Bringas,Charisse Hong
106,Jaimie Bringas,Ann Franchesca B. Laguna
106,Charisse Hong,Ann Franchesca B. Laguna
107,Katrina B. Gapuz,Ephraim D. Mendoza
107,Katrina B. Gapuz,Richelle Ann B. Juayong
107,Katrina B. Gapuz,Nestine Hope S. Hernandez
107,Katrina B. Gapuz,Henry N. Adorna
107,Ephraim D. Mendoza,Richelle Ann B. Juayong
107,Ephraim D. Mendoza,Nestine Hope S. Hernandez
107,Ephraim D. Mendoza,Henry N. Adorna
107,Richelle Ann B. Juayong,Nestine Hope S. Hernandez
107,Richelle Ann B. Juayong,Henry N. Adorna
107,Nestine Hope S. Hernandez,Henry N. Adorna
108,Jordan Aiko Deja,Rafael A. Cabredo
109,Nathalie Rose Lim-Cheng,Danny C. Cheng
109,Nathalie Rose Lim-Cheng,Roberto Legaspi
109,Danny C. Cheng,Roberto Legaspi
110,Nathaniel Oco,Leif Romeritch Syliongka
110,Nathaniel Oco,Rachel Edita Roxas
110,Leif Romeritch Syliongka,Rachel Edita Roxas
111,Xavier Jeaspher Eser,Patricia Angela Abu
111,Xavier Jeaspher Eser,Proceso Fernandez Jr
111,Patricia Angela Abu,Proceso Fernandez Jr
112,Ryan Rey M. Daga,Proceso Fernandez Jr
113,Hadrian Ang,Miguel Palma
114,Leona Jean A. Lao,Vermille Ann T. Saw
115,Matthew Phillip Go,Allan Borra
116,Ann Renzel Lagunda,Genesis Ian Palaganas
116,Ann Renzel Lagunda,Francis George C. Cabarle
116,Ann Renzel Lagunda,Henry N. Adorna
116,Genesis Ian Palaganas,Francis George C. Cabarle
116,Genesis Ian Palaganas,Henry N. Adorna
116,Francis George C. Cabarle,Henry N. Adorna
117,Maureen Lyndel C. Lauron,Jaderick P. Pabico
119,Job Eliezek Bangayan,John Richard Bunyi
119,Job Eliezek Bangayan,Jeau Gigataras
119,Job Eliezek Bangayan,John Paul C. Vergara
119,John Richard Bunyi,Jeau Gigataras
119,John Richard Bunyi,John Paul C. Vergara
119,Jeau Gigataras,John Paul C. Vergara
120,Jasper S. Agustin,Proceso Fernandez Jr
121,Ma. Angelica Capuz,Selwyn Emerson Reyes
121,Ma. Angelica Capuz,Lorraine Policarpio
121,Ma. Angelica Capuz,Roger Luis Uy
121,Ma. Angelica Capuz,Brylle Joseph Quinto
121,Selwyn Emerson Reyes,Lorraine Policarpio
121,Selwyn Emerson Reyes,Roger Luis Uy
121,Selwyn Emerson Reyes,Brylle Joseph Quinto
121,Lorraine Policarpio,Roger Luis Uy
121,Lorraine Policarpio,Brylle Joseph Quinto
121,Roger Luis Uy,Brylle Joseph Quinto
122,Reinald Kim Amplayo,Jason Occidental
123,Rex P. Bringula,Roselle S. Basa
123,Rex P. Bringula,Cecilio Dela Cruz
123,Roselle S. Basa,Cecilio Dela Cruz
124,Emmanuel Jon A. Magdaluyo,Miguel Paolo A. Maglaque
124,Emmanuel Jon A. Magdaluyo,Geronimo Miguel M. Mantes
124,Emmanuel Jon A. Magdaluyo,Andrei D. Coronel
124,Miguel Paolo A. Maglaque,Geronimo Miguel M. Mantes
124,Miguel Paolo A. Maglaque,Andrei D. Coronel
124,Geronimo Miguel M. Mantes,Andrei D. Coronel
125,Earl Jay F. Ledesma,Marie Yvette B. de Robles
126,Emilio Angelo D. Alindogan,Jerry Y. Hom
126,Emilio Angelo D. Alindogan,Febrev F. Dela Cruz
126,Emilio Angelo D. Alindogan,Melissa P. Juanillo
126,Emilio Angelo D. Alindogan,Ma. Christina R. Aragon
126,Emilio Angelo D. Alindogan,Mark Lorenz F. Eustaquio
126,Jerry Y. Hom,Febrev F. Dela Cruz
126,Jerry Y. Hom,Melissa P. Juanillo
126,Jerry Y. Hom,Ma. Christina R. Aragon
126,Jerry Y. Hom,Mark Lorenz F. Eustaquio
126,Febrev F. Dela Cruz,Melissa P. Juanillo
126,Febrev F. Dela Cruz,Ma. Christina R. Aragon
126,Febrev F. Dela Cruz,Mark Lorenz F. Eustaquio
